㐄	㐄 㐄󠄀 㐄󠄁 㐄󠄂
爵	爵 爵󠄃 爵󠄄
父	父 父󠄂 父󠄃
爸	爸 爸󠄁 爸󠄂
爹	爹 爹󠄁 爹󠄂
爺	爺 爺󠄂 爺󠄃
爻	爻 爻󠄂 爻󠄃
爾	爾 爾󠄂 爾󠄃
牀	牀 牀󠄁 牀󠄂
牆	牆 牆󠄁 牆󠄂
片	片 片󠄁 片󠄂 片󠄃
牌	牌 牌󠄂 牌󠄃
牐	牐 牐󠄁 牐󠄂
牓	牓 牓󠄁 牓󠄂
牕	牕 牕󠄁 牕󠄂
牙	牙 牙󠄂 牙󠄃 牙󠄄
牚	牚 牚󠄁 牚󠄂
牽	牽 牽󠄁 牽󠄂
犀	犀 犀󠄁 犀󠄂
犂	犂 犂󠄁 犂󠄂
犗	犗 犗󠄀 犗󠄁
犮	犮 犮󠄁 犮󠄂
犯	犯 犯󠄁 犯󠄂
犳	犳 犳󠄀 犳󠄁
狊	狊 狊󠄀 狊󠄁
狐	狐 狐󠄁 狐󠄂 狐󠄃
狡	狡 狡󠄂 狡󠄃
狷	狷 狷󠄁 狷󠄂
猜	猜 猜󠄂 猜󠄃
猪	猪 猪󠄂 猪󠄃
猫	猫 猫󠄁 猫󠄂
猰	猰 猰󠄀 猰󠄁
猶	猶 猶󠄃 猶󠄄 猶󠄅 猶󠄆
猷	猷 猷󠄃 猷󠄄
獍	獍 獍󠄁 獍󠄂
獏	獏 獏󠄁 獏󠄂
獐	獐 獐󠄁 獐󠄂
獒	獒 獒󠄁 獒󠄂
獞	獞 獞󠄁 獞󠄂
獣	獣 獣󠄁 獣󠄂
獦	獦 獦󠄁 獦󠄂
獰	獰 獰󠄁 獰󠄂
獲	獲 獲󠄁 獲󠄂
獸	獸 獸󠄁 獸󠄂
獺	獺 獺󠄁 獺󠄂
玁	玁 玁󠄁 玁󠄂
率	率 率󠄂 率󠄃
玈	玈 玈󠄀 玈󠄁
玉	玉 玉󠄁 玉󠄂
玓	玓 玓󠄁 玓󠄂
玟	玟 玟󠄁 玟󠄂
玣	玣 玣󠄀 玣󠄁
玪	玪 玪󠄁 玪󠄂
玺	玺 玺󠄁 玺󠄂
珊	珊 珊󠄃 珊󠄄 珊󠄅 珊󠄆
珎	珎 珎󠄂 珎󠄃
珥	珥 珥󠄂 珥󠄃
班	班 班󠄂 班󠄃
珵	珵 珵󠄁 珵󠄂
珹	珹 珹󠄁 珹󠄂
珽	珽 珽󠄁 珽󠄂
琊	琊 琊󠄁 琊󠄂
琢	琢 琢󠄂 琢󠄃 琢󠄄 琢󠄅
琪	琪 琪󠄁 琪󠄂
琲	琲 琲󠄂 琲󠄃
琴	琴 琴󠄁 琴󠄂 琴󠄃
瑁	瑁 瑁󠄁 瑁󠄂
瑇	瑇 瑇󠄁 瑇󠄂
瑊	瑊 瑊󠄀 瑊󠄁
瑋	瑋 瑋󠄁 瑋󠄂 瑋󠄃
瑑	瑑 瑑󠄁 瑑󠄂
瑙	瑙 瑙󠄁 瑙󠄂
瑛	瑛 瑛󠄁 瑛󠄂
瑜	瑜 瑜󠄁 瑜󠄂
瑟	瑟 瑟󠄂 瑟󠄃
瑢	瑢 瑢󠄂 瑢󠄃
瑣	瑣 瑣󠄁 瑣󠄂
瑥	瑥 瑥󠄀 瑥󠄁
瑬	瑬 瑬󠄀 瑬󠄁
瑮	瑮 瑮󠄁 瑮󠄂
瑯	瑯 瑯󠄁 瑯󠄂
瑱	瑱 瑱󠄁 瑱󠄂 瑱󠄃
瑴	瑴 瑴󠄀 瑴󠄁
瑾	瑾 瑾󠄁 瑾󠄂
璁	璁 璁󠄁 璁󠄂
璃	璃 璃󠄁 璃󠄂
璅	璅 璅󠄁 璅󠄂
璈	璈 璈󠄁 璈󠄂
璉	璉 璉󠄁 璉󠄂
璊	璊 璊󠄀 璊󠄁
璋	璋 璋󠄁 璋󠄂
璘	璘 璘󠄁 璘󠄂
璡	璡 璡󠄁 璡󠄂
璣	璣 璣󠄁 璣󠄂 璣󠄃
璥	璥 璥󠄁 璥󠄂
璦	璦 璦󠄁 璦󠄂
璩	璩 璩󠄁 璩󠄂
環	環 環󠄂 環󠄃
璲	璲 璲󠄁 璲󠄂
瓊	瓊 瓊󠄂 瓊󠄃 瓊󠄄
瓋	瓋 瓋󠄀 瓋󠄁 瓋󠄂
瓏	瓏 瓏󠄁 瓏󠄂
瓘	瓘 瓘󠄂 瓘󠄃
瓚	瓚 瓚󠄁 瓚󠄂
瓜	瓜 瓜󠄂 瓜󠄃 瓜󠄄
瓞	瓞 瓞󠄁 瓞󠄂
瓟	瓟 瓟󠄁 瓟󠄂 瓟󠄃
瓠	瓠 瓠󠄂 瓠󠄃 瓠󠄄
瓢	瓢 瓢󠄁 瓢󠄂
瓣	瓣 瓣󠄁 瓣󠄂 瓣󠄃
瓤	瓤 瓤󠄁 瓤󠄂
瓮	瓮 瓮󠄁 瓮󠄂
瓯	瓯 瓯󠄂 瓯󠄃
瓰	瓰 瓰󠄁 瓰󠄂
瓴	瓴 瓴󠄁 瓴󠄂
甁	甁 甁󠄁 甁󠄂
甄	甄 甄󠄂 甄󠄃 甄󠄄 甄󠄅
甆	甆 甆󠄁 甆󠄂 甆󠄃
甌	甌 甌󠄂 甌󠄃
甍	甍 甍󠄂 甍󠄃 甍󠄄 甍󠄅
甎	甎 甎󠄁 甎󠄂
甑	甑 甑󠄄 甑󠄅 甑󠄆 甑󠄇
甕	甕 甕󠄃 甕󠄄 甕󠄅
甚	甚 甚󠄁 甚󠄂
甦	甦 甦󠄂 甦󠄃
甧	甧 甧󠄁 甧󠄂
甬	甬 甬󠄁 甬󠄂
男	男 男󠄁 男󠄂
甹	甹 甹󠄁 甹󠄂
画	画 画󠄁 画󠄂
甾	甾 甾󠄁 甾󠄂
畃	畃 畃󠄁 畃󠄂
畇	畇 畇󠄁 畇󠄂
畔	畔 畔󠄂 畔󠄃
留	留 留󠄁 留󠄂 留󠄃
畡	畡 畡󠄁 畡󠄂
異	異 異󠄁 異󠄂 異󠄃
疃	疃 疃󠄀 疃󠄁
疱	疱 疱󠄁 疱󠄂
疼	疼 疼󠄂 疼󠄃
痊	痊 痊󠄁 痊󠄂
痎	痎 痎󠄁 痎󠄂
痐	痐 痐󠄀 痐󠄁
痜	痜 痜󠄁 痜󠄂
痻	痻 痻󠄀 痻󠄁
瘀	瘀 瘀󠄁 瘀󠄂
瘃	瘃 瘃󠄁 瘃󠄂
瘈	瘈 瘈󠄂 瘈󠄃 瘈󠄄
瘉	瘉 瘉󠄁 瘉󠄂
瘖	瘖 瘖󠄁 瘖󠄂
瘛	瘛 瘛󠄁 瘛󠄂 瘛󠄃
瘟	瘟 瘟󠄁 瘟󠄂
瘢	瘢 瘢󠄁 瘢󠄂
瘦	瘦 瘦󠄂 瘦󠄃
瘧	瘧 瘧󠄁 瘧󠄂
瘩	瘩 瘩󠄁 瘩󠄂
瘴	瘴 瘴󠄁 瘴󠄂
瘼	瘼 瘼󠄁 瘼󠄂
癁	癁 癁󠄁 癁󠄂
癇	癇 癇󠄁 癇󠄂
癐	癐 癐󠄀 癐󠄁
癒	癒 癒󠄂 癒󠄃 癒󠄄
癘	癘 癘󠄁 癘󠄂
癢	癢 癢󠄁 癢󠄂 癢󠄃 癢󠄄
癥	癥 癥󠄁 癥󠄂
癩	癩 癩󠄂 癩󠄃
癱	癱 癱󠄁 癱󠄂
癲	癲 癲󠄂 癲󠄃 癲󠄄 癲󠄅
皀	皀 皀󠄁 皀󠄂
皂	皂 皂󠄁 皂󠄂
的	的 的󠄂 的󠄃
皍	皍 皍󠄁 皍󠄂
皎	皎 皎󠄁 皎󠄂
皓	皓 皓󠄂 皓󠄃
皞	皞 皞󠄁 皞󠄂
皣	皣 皣󠄁 皣󠄂
皧	皧 皧󠄁 皧󠄂
皰	皰 皰󠄁 皰󠄂
皴	皴 皴󠄁 皴󠄂
皶	皶 皶󠄁 皶󠄂
皷	皷 皷󠄁 皷󠄂
盆	盆 盆󠄂 盆󠄃
盈	盈 盈󠄁 盈󠄂
益	益 益󠄂 益󠄃 益󠄄 益󠄅
盔	盔 盔󠄂 盔󠄃
盛	盛 盛󠄂 盛󠄃
盟	盟 盟󠄂 盟󠄃
盡	盡 盡󠄁 盡󠄂
監	監 監󠄁 監󠄂
盲	盲 盲󠄂 盲󠄃
直	直 直󠄂 直󠄃 直󠄄 直󠄅 直󠄈 直󠄉
盻	盻 盻󠄁 盻󠄂
眄	眄 眄󠄁 眄󠄂
眔	眔 眔󠄁 眔󠄂
眞	眞 眞󠄂 眞󠄃 眞󠄄 眞󠄅 眞󠄆
真	真 真󠄂 真󠄃 真󠄅 真󠄇
眫	眫 眫󠄀 眫󠄁
眷	眷 眷󠄂 眷󠄃
眾	眾 眾󠄁 眾󠄂 眾󠄃
着	着 着󠄁 着󠄂
睊	睊 睊󠄁 睊󠄂
睛	睛 睛󠄁 睛󠄂
睪	睪 睪󠄁 睪󠄂
睭	睭 睭󠄀 睭󠄁
睰	睰 睰󠄁 睰󠄂
睹	睹 睹󠄁 睹󠄂
瞄	瞄 瞄󠄁 瞄󠄂
瞋	瞋 瞋󠄁 瞋󠄂
瞎	瞎 瞎󠄁 瞎󠄂 瞎󠄃
瞕	瞕 瞕󠄁 瞕󠄂
瞢	瞢 瞢󠄂 瞢󠄃
瞥	瞥 瞥󠄂 瞥󠄃
瞬	瞬 瞬󠄂 瞬󠄃 瞬󠄄
瞱	瞱 瞱󠄁 瞱󠄂
瞳	瞳 瞳󠄁 瞳󠄂
瞵	瞵 瞵󠄁 瞵󠄂
矇	矇 矇󠄁 矇󠄂 矇󠄃
矌	矌 矌󠄀 矌󠄁
矒	矒 矒󠄁 矒󠄂
矗	矗 矗󠄁 矗󠄂
矩	矩 矩󠄂 矩󠄃
矱	矱 矱󠄁 矱󠄂
砉	砉 砉󠄁 砉󠄂
砑	砑 砑󠄁 砑󠄂
砲	砲 砲󠄂 砲󠄃
硎	硎 硎󠄁 硎󠄂
硏	硏 硏󠄁 硏󠄂
硝	硝 硝󠄂 硝󠄃
硫	硫 硫󠄁 硫󠄂
硬	硬 硬󠄂 硬󠄃
确	确 确󠄁 确󠄂
硴	硴 硴󠄁 硴󠄂
硺	硺 硺󠄁 硺󠄂
硻	硻 硻󠄀 硻󠄁
硼	硼 硼󠄂 硼󠄃
碌	碌 碌󠄁 碌󠄂
碑	碑 碑󠄂 碑󠄃
碣	碣 碣󠄁 碣󠄂
碤	碤 碤󠄁 碤󠄂
碰	碰 碰󠄁 碰󠄂
確	確 確󠄁 確󠄂
磁	磁 磁󠄁 磁󠄂
磅	磅 磅󠄁 磅󠄂
磌	磌 磌󠄁 磌󠄂
磍	磍 磍󠄀 磍󠄁
磓	磓 磓󠄁 磓󠄂
磔	磔 磔󠄂 磔󠄃 磔󠄄 磔󠄅
磨	磨 磨󠄂 磨󠄃
磯	磯 磯󠄂 磯󠄃 磯󠄄
磷	磷 磷󠄁 磷󠄂
磹	磹 磹󠄁 磹󠄂
礇	礇 礇󠄁 礇󠄂
礚	礚 礚󠄁 礚󠄂
礞	礞 礞󠄁 礞󠄂
礠	礠 礠󠄁 礠󠄂
礦	礦 礦󠄁 礦󠄂
礪	礪 礪󠄂 礪󠄃
礮	礮 礮󠄁 礮󠄂
礱	礱 礱󠄁 礱󠄂
礲	礲 礲󠄀 礲󠄁
礴	礴 礴󠄂 礴󠄃 礴󠄄 礴󠄅
礶	礶 礶󠄀 礶󠄁
礼	礼 礼󠄂 礼󠄃
礽	礽 礽󠄁 礽󠄂
社	社 社󠄂 社󠄃 社󠄄
礿	礿 礿󠄁 礿󠄂
祀	祀 祀󠄂 祀󠄃 祀󠄄 祀󠄅
祁	祁 祁󠄂 祁󠄃
祅	祅 祅󠄁 祅󠄂
祆	祆 祆󠄁 祆󠄂
祇	祇 祇󠄂 祇󠄃
祈	祈 祈󠄂 祈󠄃
祉	祉 祉󠄂 祉󠄃
祊	祊 祊󠄁 祊󠄂
祋	祋 祋󠄁 祋󠄂
祌	祌 祌󠄀 祌󠄁
祏	祏 祏󠄁 祏󠄂
祐	祐 祐󠄂 祐󠄃
祓	祓 祓󠄃 祓󠄄 祓󠄆
祔	祔 祔󠄁 祔󠄂
祕	祕 祕󠄁 祕󠄂
祖	祖 祖󠄂 祖󠄃 祖󠄄
祗	祗 祗󠄁 祗󠄂
祘	祘 祘󠄁 祘󠄂 祘󠄃 祘󠄄
祙	祙 祙󠄀 祙󠄁
祚	祚 祚󠄁 祚󠄂
祛	祛 祛󠄁 祛󠄂
祜	祜 祜󠄁 祜󠄂
祝	祝 祝󠄂 祝󠄃
神	神 神󠄂 神󠄃
祠	祠 祠󠄁 祠󠄂
祡	祡 祡󠄀 祡󠄁
祢	祢 祢󠄂 祢󠄃 祢󠄄 祢󠄅 祢󠄆
祣	祣 祣󠄀 祣󠄁
祥	祥 祥󠄂 祥󠄃
祧	祧 祧󠄁 祧󠄂
祫	祫 祫󠄁 祫󠄂
祬	祬 祬󠄀 祬󠄁
祮	祮 祮󠄀 祮󠄁
祱	祱 祱󠄀 祱󠄁 祱󠄂
祲	祲 祲󠄁 祲󠄂
祳	祳 祳󠄀 祳󠄁
祴	祴 祴󠄀 祴󠄁
祺	祺 祺󠄁 祺󠄂
祻	祻 祻󠄁 祻󠄂
祼	祼 祼󠄁 祼󠄂
祾	祾 祾󠄁 祾󠄂
祿	祿 祿󠄁 祿󠄂
禀	禀 禀󠄁 禀󠄂
禂	禂 禂󠄀 禂󠄁
禄	禄 禄󠄁 禄󠄂 禄󠄃
禅	禅 禅󠄁 禅󠄂
禊	禊 禊󠄁 禊󠄂 禊󠄃 禊󠄄 禊󠄅
禋	禋 禋󠄁 禋󠄂
禍	禍 禍󠄂 禍󠄃 禍󠄄
禎	禎 禎󠄂 禎󠄃
福	福 福󠄂 福󠄃 福󠄄
禑	禑 禑󠄁 禑󠄂
禒	禒 禒󠄀 禒󠄁
禓	禓 禓󠄁 禓󠄂
禔	禔 禔󠄁 禔󠄂
禕	禕 禕󠄁 禕󠄂 禕󠄃 禕󠄇 禕󠄈
禖	禖 禖󠄁 禖󠄂
禗	禗 禗󠄀 禗󠄁
禘	禘 禘󠄁 禘󠄂 禘󠄃
禚	禚 禚󠄀 禚󠄁
禝	禝 禝󠄁 禝󠄂 禝󠄃 禝󠄄
禠	禠 禠󠄀 禠󠄁
禡	禡 禡󠄁 禡󠄂
禦	禦 禦󠄁 禦󠄂
禧	禧 禧󠄂 禧󠄃
禨	禨 禨󠄁 禨󠄂 禨󠄃
禩	禩 禩󠄁 禩󠄂 禩󠄃
禪	禪 禪󠄁 禪󠄂 禪󠄃 禪󠄄
禫	禫 禫󠄁 禫󠄂 禫󠄃
禬	禬 禬󠄀 禬󠄁
禭	禭 禭󠄀 禭󠄁 禭󠄂
禮	禮 禮󠄂 禮󠄃
禰	禰 禰󠄂 禰󠄃 禰󠄄
禱	禱 禱󠄂 禱󠄃
禳	禳 禳󠄁 禳󠄂
禴	禴 禴󠄁 禴󠄂
禸	禸 禸󠄁 禸󠄂
离	离 离󠄁 离󠄂 离󠄃
禽	禽 禽󠄁 禽󠄂
秤	秤 秤󠄂 秤󠄃
称	称 称󠄁 称󠄂
稅	稅 稅󠄁 稅󠄂
稉	稉 稉󠄁 稉󠄂
程	程 程󠄂 程󠄃
稍	稍 稍󠄁 稍󠄂
稗	稗 稗󠄂 稗󠄃
稜	稜 稜󠄁 稜󠄂
稠	稠 稠󠄁 稠󠄂
稧	稧 稧󠄁 稧󠄂 稧󠄃
稱	稱 稱󠄂 稱󠄃 稱󠄄
稵	稵 稵󠄁 稵󠄂
稻	稻 稻󠄁 稻󠄂
稼	稼 稼󠄁 稼󠄂
稽	稽 稽󠄁 稽󠄂 稽󠄃
稿	稿 稿󠄁 稿󠄂
穀	穀 穀󠄂 穀󠄃
穂	穂 穂󠄁 穂󠄂
穉	穉 穉󠄁 穉󠄂
穋	穋 穋󠄀 穋󠄁
穏	穏 穏󠄁 穏󠄂
穐	穐 穐󠄁 穐󠄂
穗	穗 穗󠄁 穗󠄂 穗󠄃
穜	穜 穜󠄁 穜󠄂
穟	穟 穟󠄁 穟󠄂
穡	穡 穡󠄁 穡󠄂
穢	穢 穢󠄁 穢󠄂 穢󠄃
穩	穩 穩󠄁 穩󠄂
穫	穫 穫󠄁 穫󠄂
穰	穰 穰󠄁 穰󠄂
穴	穴 穴󠄃 穴󠄄
空	空 空󠄂 空󠄃
穿	穿 穿󠄂 穿󠄃 穿󠄄 穿󠄅
突	突 突󠄂 突󠄃
窊	窊 窊󠄁 窊󠄂
窕	窕 窕󠄂 窕󠄃
窖	窖 窖󠄁 窖󠄂
窗	窗 窗󠄂 窗󠄃
窙	窙 窙󠄀 窙󠄁
窨	窨 窨󠄀 窨󠄁
窫	窫 窫󠄀 窫󠄁
窬	窬 窬󠄁 窬󠄂
窮	窮 窮󠄂 窮󠄃
窳	窳 窳󠄁 窳󠄂
窴	窴 窴󠄀 窴󠄁
窻	窻 窻󠄁 窻󠄂 窻󠄃
窿	窿 窿󠄁 窿󠄂
竄	竄 竄󠄁 竄󠄂
竈	竈 竈󠄂 竈󠄃
竕	竕 竕󠄁 竕󠄂
竟	竟 竟󠄁 竟󠄂
章	章 章󠄁 章󠄂
竣	竣 竣󠄁 竣󠄂
童	童 童󠄁 童󠄂
竫	竫 竫󠄁 竫󠄂
竭	竭 竭󠄁 竭󠄂
竮	竮 竮󠄀 竮󠄁
竱	竱 竱󠄁 竱󠄂
笈	笈 笈󠄃 笈󠄄 笈󠄅
笑	笑 笑󠄁 笑󠄂
筌	筌 筌󠄁 筌󠄂
筑	筑 筑󠄂 筑󠄃 筑󠄄
筬	筬 筬󠄁 筬󠄂
筭	筭 筭󠄁 筭󠄂
筲	筲 筲󠄁 筲󠄂
筵	筵 筵󠄂 筵󠄄 筵󠄅
箏	箏 箏󠄁 箏󠄂
箐	箐 箐󠄁 箐󠄂
箒	箒 箒󠄁 箒󠄂
箙	箙 箙󠄂 箙󠄃
箛	箛 箛󠄁 箛󠄂
箜	箜 箜󠄁 箜󠄂
箞	箞 箞󠄁 箞󠄂 箞󠄃 箞󠄄
箠	箠 箠󠄁 箠󠄂
箬	箬 箬󠄁 箬󠄂
箭	箭 箭󠄂 箭󠄃
箸	箸 箸󠄂 箸󠄃
節	節 節󠄃 節󠄄 節󠄅
範	範 範󠄁 範󠄂 範󠄃
篆	篆 篆󠄁 篆󠄂
篇	篇 篇󠄂 篇󠄃
築	築 築󠄂 築󠄃
篝	篝 篝󠄂 篝󠄃
篠	篠 篠󠄂 篠󠄃
篣	篣 篣󠄀 篣󠄁
篦	篦 篦󠄁 篦󠄂
篳	篳 篳󠄁 篳󠄂
篴	篴 篴󠄁 篴󠄂
篷	篷 篷󠄁 篷󠄂 篷󠄃
篾	篾 篾󠄁 篾󠄂
簉	簉 簉󠄁 簉󠄂 簉󠄃
簓	簓 簓󠄁 簓󠄂 簓󠄃
簟	簟 簟󠄁 簟󠄂
簧	簧 簧󠄁 簧󠄂
簪	簪 簪󠄁 簪󠄂 簪󠄃 簪󠄄
簴	簴 簴󠄁 簴󠄂
簶	簶 簶󠄁 簶󠄂
簻	簻 簻󠄀 簻󠄁
簾	簾 簾󠄃 簾󠄄 簾󠄅
簿	簿 簿󠄂 簿󠄃
籆	籆 籆󠄁 籆󠄂
籍	籍 籍󠄂 籍󠄃
籏	籏 籏󠄁 籏󠄂
籐	籐 籐󠄃 籐󠄄 籐󠄅
籑	籑 籑󠄁 籑󠄂
籘	籘 籘󠄂 籘󠄃 籘󠄄
籜	籜 籜󠄁 籜󠄂
籟	籟 籟󠄁 籟󠄂
籠	籠 籠󠄁 籠󠄂 籠󠄃 籠󠄄
籧	籧 籧󠄁 籧󠄂 籧󠄃
籩	籩 籩󠄂 籩󠄃 籩󠄄
籪	籪 籪󠄀 籪󠄁
籬	籬 籬󠄁 籬󠄂
籯	籯 籯󠄁 籯󠄂
类	类 类󠄁 类󠄂
籾	籾 籾󠄃 籾󠄄 籾󠄅
粂	粂 粂󠄂 粂󠄃
粉	粉 粉󠄂 粉󠄃
粐	粐 粐󠄂 粐󠄃
粔	粔 粔󠄁 粔󠄂
粤	粤 粤󠄁 粤󠄂
粦	粦 粦󠄁 粦󠄂
粮	粮 粮󠄂 粮󠄃
粳	粳 粳󠄁 粳󠄂
精	精 精󠄂 精󠄃
糀	糀 糀󠄁 糀󠄂 糀󠄃
糂	糂 糂󠄁 糂󠄂
糖	糖 糖󠄂 糖󠄃
糘	糘 糘󠄁 糘󠄂
糙	糙 糙󠄁 糙󠄂
糚	糚 糚󠄁 糚󠄂
糜	糜 糜󠄁 糜󠄂
糡	糡 糡󠄀 糡󠄁
糢	糢 糢󠄁 糢󠄂
糲	糲 糲󠄂 糲󠄃
糴	糴 糴󠄁 糴󠄂
糵	糵 糵󠄁 糵󠄂
糶	糶 糶󠄁 糶󠄂
糾	糾 糾󠄁 糾󠄂
紀	紀 紀󠄁 紀󠄂 紀󠄃 紀󠄄
約	約 約󠄂 約󠄃
紈	紈 紈󠄁 紈󠄂
紊	紊 紊󠄁 紊󠄂
紋	紋 紋󠄂 紋󠄃
納	納 納󠄂 納󠄃 納󠄄
純	純 純󠄁 純󠄂
級	級 級󠄂 級󠄃
紛	紛 紛󠄂 紛󠄃
紫	紫 紫󠄁 紫󠄂
終	終 終󠄂 終󠄃
絆	絆 絆󠄂 絆󠄃
絘	絘 絘󠄀 絘󠄁
絚	絚 絚󠄁 絚󠄂
絜	絜 絜󠄂 絜󠄃 絜󠄄 絜󠄅
絝	絝 絝󠄁 絝󠄂
絞	絞 絞󠄂 絞󠄃
絣	絣 絣󠄂 絣󠄃
絯	絯 絯󠄀 絯󠄁
統	統 統󠄁 統󠄂
絳	絳 絳󠄂 絳󠄃 絳󠄄
絹	絹 絹󠄁 絹󠄂
綁	綁 綁󠄁 綁󠄂
綆	綆 綆󠄁 綆󠄂 綆󠄃
綏	綏 綏󠄁 綏󠄂
經	經 經󠄁 經󠄂
綛	綛 綛󠄂 綛󠄃 綛󠄄
綞	綞 綞󠄁 綞󠄂
綟	綟 綟󠄂 綟󠄃
綠	綠 綠󠄁 綠󠄂
綢	綢 綢󠄁 綢󠄂
綣	綣 綣󠄁 綣󠄂
綪	綪 綪󠄁 綪󠄂
綮	綮 綮󠄂 綮󠄃
綯	綯 綯󠄁 綯󠄂
綱	綱 綱󠄁 綱󠄂
網	網 網󠄃 網󠄄 網󠄅 網󠄆
綵	綵 綵󠄁 綵󠄂
綹	綹 綹󠄁 綹󠄂
綾	綾 綾󠄁 綾󠄂
緇	緇 緇󠄁 緇󠄂
緋	緋 緋󠄂 緋󠄃
総	総 総󠄂 総󠄃
緝	緝 緝󠄂 緝󠄃
締	締 締󠄁 締󠄂
緢	緢 緢󠄁 緢󠄂
緣	緣 緣󠄁 緣󠄂
編	編 編󠄂 編󠄃
緩	緩 緩󠄂 緩󠄃
緯	緯 緯󠄂 緯󠄃 緯󠄄
緰	緰 緰󠄀 緰󠄁
練	練 練󠄂 練󠄃
縁	縁 縁󠄁 縁󠄂
縂	縂 縂󠄀 縂󠄁
縉	縉 縉󠄂 縉󠄃
縊	縊 縊󠄁 縊󠄂 縊󠄃
縋	縋 縋󠄁 縋󠄂
縌	縌 縌󠄀 縌󠄁
縛	縛 縛󠄂 縛󠄃
縝	縝 縝󠄁 縝󠄂
縟	縟 縟󠄁 縟󠄂
縢	縢 縢󠄃 縢󠄄 縢󠄅
縧	縧 縧󠄁 縧󠄂
縫	縫 縫󠄂 縫󠄃
縬	縬 縬󠄁 縬󠄂
縭	縭 縭󠄁 縭󠄂
縵	縵 縵󠄃 縵󠄄 縵󠄅
縶	縶 縶󠄁 縶󠄂
縷	縷 縷󠄁 縷󠄂
縺	縺 縺󠄁 縺󠄂
縻	縻 縻󠄁 縻󠄂
總	總 總󠄁 總󠄂
繁	繁 繁󠄂 繁󠄃
繃	繃 繃󠄂 繃󠄃
繄	繄 繄󠄁 繄󠄂
繅	繅 繅󠄁 繅󠄂
繆	繆 繆󠄁 繆󠄂
繒	繒 繒󠄁 繒󠄂
織	織 織󠄁 織󠄂
繨	繨 繨󠄀 繨󠄁
繩	繩 繩󠄁 繩󠄂
繪	繪 繪󠄁 繪󠄂
繫	繫 繫󠄂 繫󠄃
繭	繭 繭󠄂 繭󠄃 繭󠄄
繶	繶 繶󠄀 繶󠄁
繸	繸 繸󠄁 繸󠄂
繹	繹 繹󠄁 繹󠄂
繼	繼 繼󠄁 繼󠄂
繽	繽 繽󠄁 繽󠄂 繽󠄃
繾	繾 繾󠄁 繾󠄂
繿	繿 繿󠄁 繿󠄂
纊	纊 纊󠄁 纊󠄂
纒	纒 纒󠄁 纒󠄂 纒󠄃
缺	缺 缺󠄁 缺󠄂
缼	缼 缼󠄁 缼󠄂
缾	缾 缾󠄂 缾󠄃
罈	罈 罈󠄀 罈󠄁
罐	罐 罐󠄂 罐󠄃
罔	罔 罔󠄁 罔󠄂 罔󠄃
罛	罛 罛󠄁 罛󠄂
罪	罪 罪󠄂 罪󠄃
署	署 署󠄂 署󠄃
罶	罶 罶󠄀 罶󠄁
罺	罺 罺󠄀 罺󠄁
罿	罿 罿󠄁 罿󠄂
羃	羃 羃󠄁 羃󠄂
羏	羏 羏󠄁 羏󠄂
羕	羕 羕󠄀 羕󠄁 羕󠄂
羞	羞 羞󠄁 羞󠄂 羞󠄃
羡	羡 羡󠄂 羡󠄃 羡󠄄
羭	羭 羭󠄁 羭󠄂
羮	羮 羮󠄂 羮󠄃
羯	羯 羯󠄁 羯󠄂 羯󠄃
羵	羵 羵󠄀 羵󠄁
羸	羸 羸󠄁 羸󠄂
羻	羻 羻󠄀 羻󠄁
羽	羽 羽󠄂 羽󠄃 羽󠄄
翁	翁 翁󠄃 翁󠄄 翁󠄅
翅	翅 翅󠄂 翅󠄃
翆	翆 翆󠄂 翆󠄃
翊	翊 翊󠄁 翊󠄂
翌	翌 翌󠄂 翌󠄃
翏	翏 翏󠄁 翏󠄂
習	習 習󠄂 習󠄃
翔	翔 翔󠄂 翔󠄃
翕	翕 翕󠄁 翕󠄂
翟	翟 翟󠄁 翟󠄂
翠	翠 翠󠄂 翠󠄃 翠󠄄
翡	翡 翡󠄄 翡󠄅 翡󠄆
翦	翦 翦󠄁 翦󠄂 翦󠄃
翩	翩 翩󠄃 翩󠄄 翩󠄅
翫	翫 翫󠄂 翫󠄃 翫󠄄
翰	翰 翰󠄂 翰󠄃 翰󠄄
翳	翳 翳󠄁 翳󠄂
翹	翹 翹󠄁 翹󠄂
翻	翻 翻󠄂 翻󠄃
翼	翼 翼󠄃 翼󠄄 翼󠄅 翼󠄆
翾	翾 翾󠄁 翾󠄂
耀	耀 耀󠄂 耀󠄃
考	考 考󠄂 考󠄃
者	者 者󠄂 者󠄃
耒	耒 耒󠄂 耒󠄃
耕	耕 耕󠄂 耕󠄃
耗	耗 耗󠄂 耗󠄃
耘	耘 耘󠄁 耘󠄂
耙	耙 耙󠄁 耙󠄂
耜	耜 耜󠄁 耜󠄂 耜󠄃
耡	耡 耡󠄁 耡󠄂
耨	耨 耨󠄁 耨󠄂 耨󠄃
耶	耶 耶󠄂 耶󠄃
耷	耷 耷󠄁 耷󠄂
耽	耽 耽󠄁 耽󠄂
聖	聖 聖󠄂 聖󠄃 聖󠄄
聟	聟 聟󠄂 聟󠄃
聠	聠 聠󠄁 聠󠄂
聰	聰 聰󠄂 聰󠄃 聰󠄄
聲	聲 聲󠄁 聲󠄂
聳	聳 聳󠄂 聳󠄃
聴	聴 聴󠄂 聴󠄃
聶	聶 聶󠄂 聶󠄃
職	職 職󠄂 職󠄃 職󠄄
